time,continuous_time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
3.37,3.37,10,12.06,90,72.69
3.39,3.39,10,12.07,90,72.77
3.41,3.41,10,12.02,90,72.83
3.43,3.43,10,12.03,90,73.04
3.45,3.45,10,12.04,90,73.05
3.47,3.47,10,12.06,90,73.15
3.49,3.49,10,12.12,90,73.31
3.51,3.51,10,12.11,90,73.13
3.53,3.53,10,12.19,90,73.5
3.55,3.55,10,12.18,90,74
3.57,3.57,10,12.16,90,74.19
3.59,3.59,10,12.18,90,74.2
3.61,3.61,10,12.12,90,74.4
3.63,3.63,10,12.18,90,74.54
3.66,3.66,10,12.17,90,74.6
3.68,3.68,10,12.2,90,74.99
3.7,3.7,10,12.29,90,75.23
3.72,3.72,10,12.33,90,75.2
3.74,3.74,10,12.36,90,75.18
3.76,3.76,10,12.36,90,75.17
3.78,3.78,10,12.33,90,75.11
3.8,3.8,10,12.35,90,75.1
3.82,3.82,10,12.33,90,75.44
3.84,3.84,10,12.34,90,75.63
3.86,3.86,10,12.37,90,75.36
3.88,3.88,10,12.34,90,74.99
3.9,3.9,10,12.31,90,75.43
3.92,3.92,10,12.32,90,76.06
3.94,3.94,10,12.32,90,76.09
3.96,3.96,10,12.26,90,76.13
3.98,3.98,10,12.28,90,76.38
4,4,10,12.34,90,76.53
4.02,4.02,10,12.37,90,76.39
4.05,4.05,10,12.29,90,76.11
4.07,4.07,10,12.26,90,76.08
4.09,4.09,10,12.3,90,76.36
4.11,4.11,10,12.35,90,77.12
4.13,4.13,10,12.31,90,77.01
4.15,4.15,10,12.3,90,76.96
4.17,4.17,10,12.32,90,77.2
4.19,4.19,10,12.32,90,77.51
4.21,4.21,10,12.28,90,77.71
4.23,4.23,10,12.24,90,77.66
4.25,4.25,10,12.25,90,77.76
4.27,4.27,10,12.25,90,77.93
4.29,4.29,10,12.23,90,77.88
4.31,4.31,10,12.21,90,77.8
4.33,4.33,10,12.24,90,77.97
